"#","Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"1","C1,C2","2","22n","","","","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm",""
"2","C3","1","22u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"3","D1","1","1N4148","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"4","D2","1","D","","","","Diode_SMD:D_SMA_Handsoldering",""
"5","D3","1","LED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"6","D4","1","LED","","","","LED_THT:LED_D5.0mm",""
"7","J1","1","SERVO","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"8","J2","1","VIN","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",""
"9","R1","1","1M","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"10","R2","1","22K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"11","R3","1","1K","","","","Resistor_SMD:R_1206_3216Metric",""
"12","R4","1","1K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"13","RV1","1","100K","","","","Potentiometer_THT:Potentiometer_Bourns_PTV09A-1_Single_Vertical",""
"14","U1","1","LM555xN","","","","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/lm555.pdf"
"15","U2","1","AMS1117-5.0","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
