Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22n","C_Disc_D3.8mm_W2.6mm_P2.50mm",151.815000,-93.507500,90.000000,top
"C2","22n","C_Disc_D3.8mm_W2.6mm_P2.50mm",160.120000,-86.817500,180.000000,top
"C3","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",139.620000,-91.817500,180.000000,top
"D1","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",166.620000,-104.817500,180.000000,top
"D2","D","D_SMA_Handsoldering",127.120000,-108.817500,180.000000,top
"D3","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",138.620000,-106.817500,180.000000,top
"D4","LED","LED_D5.0mm",139.080000,-83.817500,0.000000,top
"J1","SERVO","PinHeader_1x03_P2.54mm_Vertical",171.000000,-95.277500,0.000000,top
"J2","VIN","TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",123.447500,-96.380000,-90.000000,top
"R1","1M","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",159.000000,-107.817500,0.000000,top
"R2","22K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",159.000000,-110.817500,0.000000,top
"R3","1K","R_1206_3216Metric",140.620000,-103.817500,0.000000,top
"R4","1K","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",135.620000,-80.007500,-90.000000,top
"RV1","100K","Potentiometer_Bourns_PTV09A-1_Single_Vertical",149.182500,-122.817500,90.000000,top
"U1","LM555xN","DIP-8_W7.62mm",154.815000,-91.007500,0.000000,top
"U2","AMS1117-5.0","SOT-223-3_TabPin2",138.470000,-96.817500,0.000000,top
